"Clade name","Duration","Is.extant","Clade first occ","Number of genera","Number of occ","Completeness","Source"
"Terebratulida",412.7,TRUE,413.6,229,NA,0.448,"Sepkoski02/strata"
"Thecideida",208.1,FALSE,222.25,14,NA,0.153,"Sepkoski02/strata"
"Trepostomata",264.4,FALSE,486.65,49,NA,0.386,"Sepkoski02/strata"
"Cycadeoideales",204.7,FALSE,249.2,16,517,0.529,"PBDB"
"Saxifragales",169.231,TRUE,169.3,11,290,NA,"PBDB"
"Cladoxylales",37.7,FALSE,390.5,12,73,1,"PBDB"
"Cycadales",290.661,FALSE,296.95,11,220,0.196,"PBDB"
"Fagales",106.681,TRUE,106.75,23,1489,0.949,"PBDB"
"Ericales",97.131,TRUE,97.2,22,352,0.287,"PBDB"
"Malpighiales",106.681,TRUE,106.75,24,456,0.067,"PBDB"
"Rosales",106.681,TRUE,106.75,28,726,0.295,"PBDB"
"Gentianales",63.731,TRUE,63.8,10,48,0.109,"PBDB"
"Oxalidales",63.731,TRUE,63.8,11,111,0.134,"PBDB"
"Malvales",160.331,TRUE,160.4,14,280,0.161,"PBDB"
"Schizaeales",375.762,FALSE,385.2,16,552,0.145,"PBDB"
"Polypodiales",296.881,TRUE,296.95,14,210,0.297,"PBDB"
"Lycopodiales",244.531,TRUE,244.6,10,155,1,"PBDB"
"Myrtales",97.131,TRUE,97.2,16,308,0.331,"PBDB"
"Sapindales",106.681,TRUE,106.75,29,424,0.245,"PBDB"
"Proteales",106.681,TRUE,106.75,34,592,0.136,"PBDB"
"Laurales",106.681,TRUE,106.75,14,247,0.632,"PBDB"
"Ranunculales",106.681,TRUE,106.75,12,205,NA,"PBDB"
"Fabales",95.909,FALSE,97.2,18,85,0.22,"PBDB"
"Arecales",109.562,FALSE,119,13,295,0.207,"PBDB"
"Pinales",352.731,TRUE,352.8,73,2892,0.133,"PBDB"
